a52dec 0.7.4-11
fuse2 2.9.9-4
fuse3 3.10.4-1
galculator 2.1.4-5
gawk 5.1.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 11.1.0-1
gcc-libs 11.1.0-1
gconf 3.2.6+11+g07808097-10
gcr 3.40.0-1
gd 2.3.2-4
gdbm 1.20-1
gdk-pixbuf2 2.42.6-2
gegl 0.4.30-6
geoclue 2.5.7-3
geocode-glib 3.26.2-1
gettext 0.21-1
ghc-libs 8.10.5-1
ghostscript 9.54.0-2
giflib 5.2.1-2
gimp 2.10.24-6
girara 0.3.6-1
git 2.33.0-1
gksu 2.0.2-6
glib-networking 1:2.68.1-1
glib2 2.68.4-1
glib2-docs 2.68.4-1
glibc 2.33-5
glibmm 2.66.1-2
glslang 11.5.0-1
gmp 6.2.1-1
gmrun 1.2w-1
gnome-desktop 1:40.4-1
gnome-keyring 1:40.0-1
gnome-themes-extra 3.28-2
gnu-netcat 0.7.1-8
gnupg 2.2.29-1
gnutls 3.7.2-2
go 2:1.17-1
gobject-introspection 1.68.0-1
gobject-introspection-runtime 1.68.0-1
gopls 0.7.1-1
gpart 0.3-4
gparted 1.3.1-1
gpgme 1.16.0-1
gpm 1.20.7.r38.ge82d1a6-3
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphicsmagick 1.3.36-3
graphite 1:1.3.14-1
graphviz 2.48.0-2
grep 3.6-1
groff 1.22.4-6
grub 2:2.06-1
gsettings-desktop-schemas 40.0-3
gsfonts 20200910-2
gsl 2.7-1
gsm 1.0.19-1
gspell 1.8.4-1
gssproxy 0.8.4-1
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gstreamer 1.18.4-1
gtest 1.11.0-1
gtk-doc 1.33.2-1
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gtk-update-icon-cache 1:4.2.1-2
gtk2 2.24.33-2
gtk3 1:3.24.30-2
gtkmm3 3.24.5-2
gts 0.7.6.121130-2
gufw 21.04.0-1
guile 2.2.7-1
gvfs 1.48.1-1
gzip 1.10-3
harfbuzz 2.9.0-1
harfbuzz-icu 2.9.0-1
haskell-aeson 1.5.6.0-32
haskell-assoc 1.0.2-85
haskell-attoparsec 0.14.1-16
haskell-base-compat 0.11.2-5
haskell-base-compat-batteries 0.11.2-124
haskell-base-orphans 0.8.4-111
haskell-bifunctors 5.5.11-10
haskell-comonad 5.0.8-89
haskell-data-fix 0.3.1-32
haskell-diff 0.4.0-10
haskell-distributive 0.6.2.1-93
haskell-dlist 1.0-89
haskell-erf 2.0.0.0-22
haskell-hashable 1.3.2.0-11
haskell-indexed-traversable 0.1.1-4
haskell-integer-logarithms 1.0.3.1-4
haskell-primitive 0.7.1.0-139
haskell-quickcheck 2.14.2-175
haskell-random 1.2.0-233
haskell-regex-base 0.94.0.1-2
haskell-regex-tdfa 1.3.1.1-3
haskell-scientific 0.3.7.0-6
haskell-splitmix 0.1.0.3-119
haskell-strict 0.4.0.1-59
haskell-tagged 0.8.6.1-3
haskell-th-abstraction 0.4.2.0-3
